stockidname,type
9944新麗,家居用品
1591駿吉-KY,線材、盤元
2002中鋼,線材、盤元
2007燁興,線材、盤元
2012春雨,線材、盤元
2017官田鋼,線材、盤元
2022聚亨,線材、盤元
2024志聯,線材、盤元
2027大成鋼,線材、盤元
2033佳大,線材、盤元
2063世鎧,線材、盤元
2064晉椿,線材、盤元
2065世豐,線材、盤元
2066世德,線材、盤元
3004豐達科,線材、盤元
5007三星,線材、盤元
5011久陽,線材、盤元
5013強新,線材、盤元
5016松和,線材、盤元
8342益張,線材、盤元
8415大國鋼,線材、盤元
1605華新,不鏽鋼
2007燁興,不鏽鋼
2020美亞,不鏽鋼
2025千興,不鏽鋼
2027大成鋼,不鏽鋼
2030彰源,不鏽鋼
2032新鋼,不鏽鋼
2034允強,不鏽鋼
2035唐榮,不鏽鋼
2063世鎧,不鏽鋼
2069運錩,不鏽鋼
2221大甲,不鏽鋼
5009榮剛,不鏽鋼
5013強新,不鏽鋼
5014建錩,不鏽鋼
5015華祺,不鏽鋼
5538東明-KY,不鏽鋼
9962有益,不鏽鋼
1608華榮,非鐵金屬
1615大山,非鐵金屬
2009第一銅,非鐵金屬
2027大成鋼,非鐵金屬
2358廷鑫,非鐵金屬
4558寶緯,非鐵金屬
8415大國鋼,非鐵金屬
9927泰銘,非鐵金屬
2002中鋼,板鋼
2010春源,板鋼
2014中鴻,板鋼
2020美亞,板鋼
2023燁輝,板鋼
2028威致,板鋼
2029盛餘,板鋼
2031新光鋼,板鋼
9907統一實,板鋼
1319東陽,汽機車零組件
1339昭輝,汽機車零組件
1503士電,汽機車零組件
1506正道,汽機車零組件
1512瑞利,汽機車零組件
1521大億,汽機車零組件
1522堤維西,汽機車零組件
1524耿鼎,汽機車零組件
1525江申,汽機車零組件
1532勤美,汽機車零組件
1536和大,汽機車零組件
1538正峰,汽機車零組件
1568倉佑,汽機車零組件
1587吉茂,汽機車零組件
2115六暉-KY,汽機車零組件
2201裕隆,汽機車零組件
2204中華,汽機車零組件
2207和泰車,汽機車零組件
2227裕日車,汽機車零組件
2228劍麟,汽機車零組件
2230泰茂,汽機車零組件
2233宇隆,汽機車零組件
2235謚源,汽機車零組件
2239英利-KY,汽機車零組件
2241艾姆勒,汽機車零組件
2243宏旭-KY,汽機車零組件
2250IKKA-KY,汽機車零組件
2301光寶科,汽機車零組件
2308台達電,汽機車零組件
2392正崴,汽機車零組件
3162精確,汽機車零組件
3211順達,汽機車零組件
3226至寶電,汽機車零組件
3311閎暉,汽機車零組件
3685元創精密,汽機車零組件
4502健信,汽機車零組件
4528江興鍛,汽機車零組件
4535至興,汽機車零組件
4543萬在,汽機車零組件
4551智伸科,汽機車零組件
4557永新-KY,汽機車零組件
4566時碩工業,汽機車零組件
4581光隆精密-KY,汽機車零組件
4931新盛力,汽機車零組件
4943康控-KY,汽機車零組件
5276達輝-KY,汽機車零組件
5288豐祥-KY,汽機車零組件
5309系統電,汽機車零組件
5392能率,汽機車零組件
6121新普,汽機車零組件
6235華孚,汽機車零組件
6279胡連,汽機車零組件
6605帝寶,汽機車零組件
6781AES-KY,汽機車零組件
8107大億金茂,汽機車零組件
8171天宇,汽機車零組件
8937合騏,汽機車零組件
9110越南控-DR,汽機車零組件
1506正道,車用金屬成型
1532勤美,車用金屬成型
2239英利-KY,車用金屬成型
3005神基,車用金屬成型
3310佳穎,車用金屬成型
4528江興鍛,車用金屬成型
4581光隆精密-KY,車用金屬成型
4912聯德控股-KY,車用金屬成型
5243乙盛-KY,車用金屬成型
5288豐祥-KY,車用金屬成型
1533車王電,車用電子
2231為升,車用電子
2301光寶科,車用電子
2308台達電,車用電子
2317鴻海,車用電子
2324仁寶,車用電子
2365昆盈,車用電子
2388威盛,車用電子
2497怡利電,車用電子
3024憶聲,車用電子
3059華晶科,車用電子
3128昇銳,車用電子
3552同致,車用電子
3632研勤,車用電子
3701大眾控,車用電子
3706神達,車用電子
4554橙的,車用電子
4915致伸,車用電子
4938和碩,車用電子
4952凌通,車用電子
5309系統電,車用電子
5314世紀,車用電子
5353台林,車用電子
6152百一,車用電子
6225天瀚,車用電子
8201無敵,車用電子
8255朋程,車用電子
1717長興,面板零組件
2438翔耀,面板零組件
2461光群雷,面板零組件
2486一詮,面板零組件
3051力特,面板零組件
3149正達,面板零組件
3523迎輝,面板零組件
3531先益,面板零組件
3615安可,面板零組件
3666光耀,面板零組件
3673TPK-KY,面板零組件
4933友輝,面板零組件
4935茂林-KY,面板零組件
4960誠美材,面板零組件
5371中光電,面板零組件
6120達運,面板零組件
6176瑞儀,面板零組件
6246臺龍,面板零組件
6405悅城,面板零組件
8085福華,面板零組件
8215明基材,面板零組件
8240華宏,面板零組件
2308台達電,被動元件
2327國巨,被動元件
2375凱美,被動元件
2413環科,被動元件
2428興勤,被動元件
2472立隆電,被動元件
2478大毅,被動元件
2484希華,被動元件
2492華新科,被動元件
3026禾伸堂,被動元件
3042晶技,被動元件
3090日電貿,被動元件
3207耀勝,被動元件
3221台嘉碩,被動元件
3236千如,被動元件
3357臺慶科,被動元件
3537堡達,被動元件
3624光頡,被動元件
4760勤凱,被動元件
5228鈺鎧,被動元件
5328華容,被動元件
6127九豪,被動元件
6146耕興,被動元件
6155鈞寶,被動元件
6173信昌電,被動元件
6175立敦,被動元件
6204艾華,被動元件
6207雷科,被動元件
6224聚鼎,被動元件
6259百徽,被動元件
6432今展科,被動元件
6449鈺邦,被動元件
6642富致,被動元件
6834天二科技,被動元件
8042金山電,被動元件
8043蜜望實,被動元件
8121越峰,被動元件
8182加高,被動元件
8289泰藝,被動元件
1336台翰,電子零件元件
1471首利,電子零件元件
1569濱川,電子零件元件
1582信錦,電子零件元件
1586和勤,電子零件元件
2059川湖,電子零件元件
2301光寶科,電子零件元件
2308台達電,電子零件元件
2317鴻海,電子零件元件
2328廣宇,電子零件元件
2354鴻準,電子零件元件
2385群光,電子零件元件
2392正崴,電子零件元件
2413環科,電子零件元件
2415錩新,電子零件元件
2420新巨,電子零件元件
2421建準,電子零件元件
2431聯昌,電子零件元件
2440太空梭,電子零件元件
2451創見,電子零件元件
2457飛宏,電子零件元件
2460建通,電子零件元件
2462良得電,電子零件元件
2474可成,電子零件元件
2476鉅祥,電子零件元件
2477美隆電,電子零件元件
2483百容,電子零件元件
2488漢平,電子零件元件
3002歐格,電子零件元件
3003健和興,電子零件元件
3005神基,電子零件元件
3011今皓,電子零件元件
3013晟銘電,電子零件元件
3015全漢,電子零件元件
3017奇鋐,電子零件元件
3021鴻名,電子零件元件
3023信邦,電子零件元件
3027盛達,電子零件元件
3032偉訓,電子零件元件
3043科風,電子零件元件
3058立德,電子零件元件
3067全域,電子零件元件
3071協禧,電子零件元件
3078僑威,電子零件元件
3092鴻碩,電子零件元件
3095及成,電子零件元件
3114好德,電子零件元件
3191和進,電子零件元件
3202樺晟,電子零件元件
3207耀勝,電子零件元件
3211順達,電子零件元件
3217優群,電子零件元件
3230錦明,電子零件元件
3260威剛,電子零件元件
3285微端,電子零件元件
3290東浦,電子零件元件
3294英濟,電子零件元件
3296勝德,電子零件元件
3308聯德,電子零件元件
3310佳穎,電子零件元件
3322建舜電,電子零件元件
3323加百裕,電子零件元件
3324雙鴻,電子零件元件
3325旭品,電子零件元件
3332幸康,電子零件元件
3338泰碩,電子零件元件
3357臺慶科,電子零件元件
3376新日興,電子零件元件
3432台端,電子零件元件
3465進泰電子,電子零件元件
3483力致,電子零件元件
3484崧騰,電子零件元件
3492長盛,電子零件元件
3501維熹,電子零件元件
3508位速,電子零件元件
3511矽瑪,電子零件元件
3512皇龍,電子零件元件
3516亞帝歐,電子零件元件
3518柏騰,電子零件元件
3520華盈,電子零件元件
3526凡甲,電子零件元件
3533嘉澤,電子零件元件
3540曜越,電子零件元件
3543州巧,電子零件元件
3548兆利,電子零件元件
3550聯穎,電子零件元件
3593力銘,電子零件元件
3597映興,電子零件元件
3605宏致,電子零件元件
3607谷崧,電子零件元件
3609三一東林,電子零件元件
3617碩天,電子零件元件
3625西勝,電子零件元件
3628盈正,電子零件元件
3646艾恩特,電子零件元件
3653健策,電子零件元件
3665貿聯-KY,電子零件元件
3679新至陞,電子零件元件
3684榮昌,電子零件元件
3689湧德,電子零件元件
3693營邦,電子零件元件
3710連展投控,電子零件元件
3712永崴投控,電子零件元件
4545銘鈺,電子零件元件
4912聯德控股-KY,電子零件元件
4924欣厚-KY,電子零件元件
4935茂林-KY,電子零件元件
4942嘉彰,電子零件元件
4952凌通,電子零件元件
4967十銓,電子零件元件
4973廣穎,電子零件元件
4999鑫禾,電子零件元件
5223安力-KY,電子零件元件
5225東科-KY,電子零件元件
5230雷笛克光學,電子零件元件
5243乙盛-KY,電子零件元件
5284jpp-KY,電子零件元件
5289宜鼎,電子零件元件
5309系統電,電子零件元件
5356協益,電子零件元件
5383金利,電子零件元件
5392能率,電子零件元件
5426振發,電子零件元件
5450南良,電子零件元件
5457宣德,電子零件元件
5460同協,電子零件元件
5465富驊,電子零件元件
5488松普,電子零件元件
5543桓鼎-KY,電子零件元件
6109亞元,電子零件元件
6115鎰勝,電子零件元件
6117迎廣,電子零件元件
6121新普,電子零件元件
6124業強,電子零件元件
6126信音,電子零件元件
6133金橋,電子零件元件
6134萬旭,電子零件元件
6143振曜,電子零件元件
6156松上,電子零件元件
6158禾昌,電子零件元件
6170統振,電子零件元件
6185幃翔,電子零件元件
6190萬泰科,電子零件元件
6197佳必琪,電子零件元件
6201亞弘電,電子零件元件
6203海韻電,電子零件元件
6204艾華,電子零件元件
6205詮欣,電子零件元件
6220岳豐,電子零件元件
6230尼得科超眾,電子零件元件
6235華孚,電子零件元件
6259百徽,電子零件元件
6275元山,電子零件元件
6276安鈦克,電子零件元件
6279胡連,電子零件元件
6282康舒,電子零件元件
6284佳邦,電子零件元件
6290良維,電子零件元件
6291沛亨,電子零件元件
6292迅德,電子零件元件
6409旭隼,電子零件元件
6412群電,電子零件元件
6418詠昇,電子零件元件
6442光聖,電子零件元件
6558興能高,電子零件元件
6591動力-KY,電子零件元件
6698旭暉應材,電子零件元件
6715嘉基,電子零件元件
6743安普新,電子零件元件
6761穩得,電子零件元件
6792詠業,電子零件元件
6835圓裕,電子零件元件
8033雷虎,電子零件元件
8071能率網通,電子零件元件
8085福華,電子零件元件
8088品安,電子零件元件
8093保銳,電子零件元件
8103瀚荃,電子零件元件
8109博大,電子零件元件
8131福懋科,電子零件元件
8147正淩,電子零件元件
8171天宇,電子零件元件
8210勤誠,電子零件元件
8271宇瞻,電子零件元件
8277商丞,電子零件元件
8299群聯,電子零件元件
8410森田,電子零件元件
8499鼎炫-KY,電子零件元件
9136巨騰-DR,電子零件元件
1410南染,IC封裝測試
2329華泰,IC封裝測試
2369菱生,IC封裝測試
2441超豐,IC封裝測試
2449京元電子,IC封裝測試
3264欣銓,IC封裝測試
3265台星科,IC封裝測試
3372典範,IC封裝測試
3374精材,IC封裝測試
3450聯鈞,IC封裝測試
3567逸昌,IC封裝測試
3711日月光投控,IC封裝測試
5344立衛,IC封裝測試
6147頎邦,IC封裝測試
6239力成,IC封裝測試
6257矽格,IC封裝測試
6261久元,IC封裝測試
6271同欣電,IC封裝測試
6451訊芯-KY,IC封裝測試
6525捷敏-KY,IC封裝測試
6789采鈺,IC封裝測試
8110華東,IC封裝測試
8131福懋科,IC封裝測試
8150南茂,IC封裝測試
1504東元,顯示器
1604聲寶,顯示器
1614三洋電,顯示器
2308台達電,顯示器
2317鴻海,顯示器
2324仁寶,顯示器
2340台亞,顯示器
2352佳世達,顯示器
2371大同,顯示器
2388威盛,顯示器
2489瑞軒,顯示器
3088艾訊,顯示器
3504揚明光,顯示器
4153鈺緯,顯示器
4995晶達,顯示器
5283禾聯碩,顯示器
5371中光電,顯示器
6189豐藝,顯示器
6225天瀚,顯示器
6577勁豐,顯示器
9912偉聯,顯示器
1471首利,通訊設備
2301光寶科,通訊設備
2308台達電,通訊設備
2312金寶,通訊設備
2314台揚,通訊設備
2317鴻海,通訊設備
2321東訊,通訊設備
2324仁寶,通訊設備
2332友訊,通訊設備
2345智邦,通訊設備
2352佳世達,通訊設備
2419仲琦,通訊設備
2444兆勁,通訊設備
2485兆赫,通訊設備
3025星通,通訊設備
3027盛達,通訊設備
3047訊舟,通訊設備
3062建漢,通訊設備
3138耀登,通訊設備
3152璟德,通訊設備
3306鼎天,通訊設備
3380明泰,通訊設備
3419譁裕,通訊設備
3447展達,通訊設備
3491昇達科,通訊設備
3499環天科,通訊設備
3520華盈,通訊設備
3558神準,通訊設備
3564其陽,通訊設備
3596智易,通訊設備
3664安瑞-KY,通訊設備
3684榮昌,通訊設備
3694海華,通訊設備
3704合勤控,通訊設備
3706神達,通訊設備
3710連展投控,通訊設備
4905台聯電,通訊設備
4906正文,通訊設備
4938和碩,通訊設備
5348系通,通訊設備
5353台林,通訊設備
5388中磊,通訊設備
6134萬旭,通訊設備
6142友勁,通訊設備
6143振曜,通訊設備
6152百一,通訊設備
6216居易,通訊設備
6241易通展,通訊設備
6245立端,通訊設備
6263普萊德,通訊設備
6284佳邦,通訊設備
6416瑞祺電通,通訊設備
6417韋僑,通訊設備
6465威潤,通訊設備
6470宇智,通訊設備
6514芮特-KY,通訊設備
6546正基,通訊設備
6674鋐寶科技,通訊設備
6792詠業,通訊設備
6863永道-KY,通訊設備
8034榮群,通訊設備
8059凱碩,通訊設備
8089康全電訊,通訊設備
8097常珵,通訊設備
8176智捷,通訊設備
912000晨訊科-DR,通訊設備
2412中華電,通訊服務
2424隴華,通訊服務
3045台灣大,通訊服務
3682亞太電,通訊服務
4904遠傳,通訊服務
6561是方,通訊服務
8011台通,通訊服務
1229聯華,軟體業
1416廣豐,軟體業
2308台達電,軟體業
2371大同,軟體業
2390云辰,軟體業
2419仲琦,軟體業
2427三商電,軟體業
2453凌群,軟體業
2468華經,軟體業
2471資通,軟體業
2480敦陽科,軟體業
2498宏達電,軟體業
3021鴻名,軟體業
3029零壹,軟體業
3147大綜,軟體業
3520華盈,軟體業
3570大塚,軟體業
3664安瑞-KY,軟體業
3687歐買尬,軟體業
4953緯軟,軟體業
5201凱衛,軟體業
5202力新,軟體業
5203訊連,軟體業
5209新鼎,軟體業
5210寶碩,軟體業
5212凌網,軟體業
5263智崴,軟體業
5310天剛,軟體業
5403中菲,軟體業
5410國眾,軟體業
5478智冠,軟體業
6112邁達特,軟體業
6123上奇,軟體業
6136富爾特,軟體業
6140訊達,軟體業
6148驊宏資,軟體業
6163華電網,軟體業
6166凌華,軟體業
6180橘子,軟體業
6183關貿,軟體業
6214精誠,軟體業
6218豪勉,軟體業
6221晉泰,軟體業
6231系微,軟體業
6240松崗,軟體業
6404通訊-KY,軟體業
6486互動,軟體業
6516勤崴國際,軟體業
6590普鴻,軟體業
6697東捷資訊,軟體業
674191APP*-KY,軟體業
6751智聯服務,軟體業
6752叡揚,軟體業
6763綠界科技,軟體業
6791虎門科技,軟體業
6865偉康科技,軟體業
6874倍力,軟體業
8011台通,軟體業
8068全達,軟體業
8099大世科,軟體業
8284三竹,軟體業
8416實威,軟體業
910861神州-DR,軟體業
911608明輝-DR,軟體業
1560中砂,IC製造
2303聯電,IC製造
2323中環,IC製造
2330台積電,IC製造
2337旺宏,IC製造
2338光罩,IC製造
2342茂矽,IC製造
2344華邦電,IC製造
2408南亞科,IC製造
2455全新,IC製造
3016嘉晶,IC製造
3081聯亞,IC製造
3105穩懋,IC製造
3234光環,IC製造
3532台勝科,IC製造
3583辛耘,IC製造
3707漢磊,IC製造
4919新唐,IC製造
4971IET-KY,IC製造
4991環宇-KY,IC製造
5222全訊,IC製造
5347世界,IC製造
5483中美晶,IC製造
6103合邦,IC製造
6182合晶,IC製造
6287元隆,IC製造
6488環球晶,IC製造
6770力積電,IC製造
6789采鈺,IC製造
8028昇陽半導體,IC製造
8086宏捷科,IC製造
2614東森,INTERNET應用與服務
2734易飛網,INTERNET應用與服務
3045台灣大,INTERNET應用與服務
3085新零售,INTERNET應用與服務
5278尚凡,INTERNET應用與服務
5287數字,INTERNET應用與服務
5321美而快,INTERNET應用與服務
6136富爾特,INTERNET應用與服務
6165浪凡,INTERNET應用與服務
6180橘子,INTERNET應用與服務
6703軒郁,INTERNET應用與服務
8044網家,INTERNET應用與服務
8454富邦媒,INTERNET應用與服務
8472夠麻吉,INTERNET應用與服務
8477創業家,INTERNET應用與服務
9960邁達康,INTERNET應用與服務
2374佳能,數位相機
3008大立光,數位相機
3019亞光,數位相機
3059華晶科,數位相機
3360尚立,數位相機
3362先進光,數位相機
3406玉晶光,數位相機
3441聯一光,數位相機
3504揚明光,數位相機
3630新鉅科,數位相機
3712永崴投控,數位相機
4974亞泰,數位相機
4976佳凌,數位相機
6209今國光,數位相機
6283淳安,數位相機
6517保勝光學,數位相機
6668中揚光,數位相機
6789采鈺,數位相機
6859伯特光,數位相機
8249菱光,數位相機
1711永光,電子化工材料
1717長興,電子化工材料
1727中華化,電子化工材料
1785光洋科,電子化工材料
3131弘塑,電子化工材料
3663鑫科,電子化工材料
4739康普,電子化工材料
4755三福化,電子化工材料
5234達興材料,電子化工材料
5493三聯,電子化工材料
8438昶昕,電子化工材料
2301光寶科,光通訊
2413環科,光通訊
2426鼎元,光通訊
2466冠西電,光通訊
3025星通,光通訊
3163波若威,光通訊
3234光環,光通訊
3363上詮,光通訊
3419譁裕,光通訊
3447展達,光通訊
3450聯鈞,光通訊
3672康聯訊,光通訊
3704合勤控,光通訊
3712永崴投控,光通訊
4903聯光通,光通訊
4905台聯電,光通訊
4908前鼎,光通訊
4977眾達-KY,光通訊
4979華星光,光通訊
6263普萊德,光通訊
6426統新,光通訊
6442光聖,光通訊
6530創威,光通訊
6588東典光電,光通訊
8011台通,光通訊
8048德勝,光通訊
8089康全電訊,光通訊
1605華新,太陽能
2301光寶科,太陽能
2308台達電,太陽能
2406國碩,太陽能
2409友達,太陽能
3027盛達,太陽能
3050鈺德,太陽能
3073天方能源,太陽能
3089億杰,太陽能
3490單井,太陽能
3576聯合再生,太陽能
3686達能,太陽能
3691碩禾,太陽能
3713新晶投控,太陽能
4760勤凱,太陽能
4934太極,太陽能
5483中美晶,太陽能
6125廣運,太陽能
6244茂迪,太陽能
6409旭隼,太陽能
6443元晶,太陽能
6477安集,太陽能
6869雲豹能源-創,太陽能
6873泓德能源-創,太陽能
8087華鎂鑫,太陽能
2351順德,手機零組件
2374佳能,手機零組件
2402毅嘉,手機零組件
2454聯發科,手機零組件
3034聯詠,手機零組件
3059華晶科,手機零組件
3545敦泰,手機零組件
3592瑞鼎,手機零組件
3642駿熠電,手機零組件
4961天鈺,手機零組件
8016矽創,手機零組件
2365昆盈,電聲產品
2417圓剛,電聲產品
2439美律,電聲產品
3206志豐,電聲產品
3287廣寰科,電聲產品
3349寶德,電聲產品
4915致伸,電聲產品
4943康控-KY,電聲產品
5457宣德,電聲產品
6143振曜,電聲產品
6743安普新,電聲產品
8067志旭,電聲產品
4968立積,射頻前端晶片
5222全訊,射頻前端晶片
4966譜瑞-KY,傳輸介面
5269祥碩,傳輸介面
6104創惟,傳輸介面
6233旺玖,傳輸介面
6512啟發電,傳輸介面
6594展匯科,傳輸介面
6715嘉基,傳輸介面
6756威鋒電子,傳輸介面
8299群聯,傳輸介面
1472三洋實業,營造工程
1535中宇,營造工程
2511太子,營造工程
2515中工,營造工程
2516新建,營造工程
2520冠德,營造工程
2535達欣工,營造工程
2540愛山林,營造工程
2543皇昌,營造工程
2546根基,營造工程
2597潤弘,營造工程
2913農林,營造工程
3052夆典,營造工程
3489森寶,營造工程
3521鴻翊,營造工程
3703欣陸,營造工程
4550長佳,營造工程
5205中茂,營造工程
5434崇越,營造工程
5511德昌,營造工程
5512力麒,營造工程
5515建國,營造工程
5516雙喜,營造工程
5521工信,營造工程
5536聖暉*,營造工程
6122擎邦,營造工程
6179亞通,營造工程
6228全譜,營造工程
6624萬年清,營造工程
6754匯僑設計,營造工程
6806森崴能源,營造工程
8080永利聯合,營造工程
8383千附,營造工程
8426紅木-KY,營造工程
8463潤泰材,營造工程
8473山林水,營造工程
8476台境,營造工程
9933中鼎,營造工程
9946三發地產,營造工程
1103嘉泥,運輸事業
1443立益物流,運輸事業
1604聲寶,運輸事業
1708東鹼,運輸事業
2107厚生,運輸事業
2443昶虹,運輸事業
2601益航,運輸事業
2603長榮,運輸事業
2605新興,運輸事業
2606裕民,運輸事業
2607榮運,運輸事業
2608嘉里大榮,運輸事業
2609陽明,運輸事業
2610華航,運輸事業
2611志信,運輸事業
2612中航,運輸事業
2613中櫃,運輸事業
2614東森,運輸事業
2615萬海,運輸事業
2616山隆,運輸事業
2617台航,運輸事業
2618長榮航,運輸事業
2633台灣高鐵,運輸事業
2636台驊投控,運輸事業
2637慧洋-KY,運輸事業
2640大車隊,運輸事業
2641正德,運輸事業
2642宅配通,運輸事業
2643捷迅,運輸事業
3085新零售,運輸事業
5601台聯櫃,運輸事業
5603陸海,運輸事業
5607遠雄港,運輸事業
5608四維航,運輸事業
5609中菲行,運輸事業
8367建新國際,運輸事業
8905裕國,運輸事業
910861神州-DR,運輸事業
1432大魯閣,休閒娛樂
2614東森,休閒娛樂
2701萬企,休閒娛樂
2705六福,休閒娛樂
2719燦星旅,休閒娛樂
2731雄獅,休閒娛樂
2734易飛網,休閒娛樂
2743山富,休閒娛樂
2745五福,休閒娛樂
2901欣欣,休閒娛樂
3050鈺德,休閒娛樂
4550長佳,休閒娛樂
5701劍湖山,休閒娛樂
5706鳳凰,休閒娛樂
5905南仁湖,休閒娛樂
6596寬宏藝術,休閒娛樂
8462柏文,休閒娛樂
9943好樂迪,休閒娛樂
2415錩新,金融業
2801彰銀,金融業
2809京城銀,金融業
2812台中銀,金融業
2816旺旺保,金融業
2820華票,金融業
2832台產,金融業
2834臺企銀,金融業
2836高雄銀,金融業
2838聯邦銀,金融業
2845遠東銀,金融業
2849安泰銀,金融業
2850新產,金融業
2851中再保,金融業
2852第一保,金融業
2855統一證,金融業
2867三商壽,金融業
2880華南金,金融業
2881富邦金,金融業
2882國泰金,金融業
2883開發金,金融業
2884玉山金,金融業
2885元大金,金融業
2886兆豐金,金融業
2887台新金,金融業
2888新光金,金融業
2889國票金,金融業
2890永豐金,金融業
2891中信金,金融業
2892第一金,金融業
2897王道銀行,金融業
5864致和證,金融業
5871中租-KY,金融業
5876上海商銀,金融業
5878台名,金融業
5880合庫金,金融業
6005群益證,金融業
6015宏遠證,金融業
6016康和證,金融業
6020大展證,金融業
6021美好證,金融業
6023元大期,金融業
6024群益期,金融業
6026福邦證,金融業
6170統振,金融業
6592和潤企業,金融業
2614東森,無店舖販售
3045台灣大,無店舖販售
1535中宇,水資源
4556旭然,水資源
5205中茂,水資源
6641基士德-KY,水資源
8473山林水,水資源
8936國統,水資源
1402遠東新,控股公司
1702南僑,控股公司
1907永豐餘,控股公司
2905三商,控股公司
2915潤泰全,控股公司
